Force_True_2dim, number of iterations: 10

Parameters info
Tradeoffs parameter: [1.e-02 1.e-01 1.e+00 1.e+01 1.e+02]
Gaussian kernel sigmas: [0.2   0.225 0.25  0.275 0.3  ]
Number of principal dimension considerated: 2
Dataset length: 150

Clusterization info
Minimum size of a cluster: in perc: 0.01, in int: 2
Type of mu: Binary Muzzifier
Fuzzifier: Linear
Cluster to label info
Force the number of cluster to be the number of different labels: True
Force the labels to be always represent by a cluster: True

Validation info
Conflict resolution: random


RESULTS

On TEST set

Accuracy on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(9, 10.0, 0.2): 0.8
(9, 10.0, 0.225): 0.266666666667
(9, 10.0, 0.25): 0.2
(9, 10.0, 0.275): 0.266666666667
(9, 10.0, 0.3): 0.466666666667
(9, 100.0, 0.2): 0.8
(9, 100.0, 0.225): 0.6
(9, 100.0, 0.25): 0.2
(9, 100.0, 0.275): 0.266666666667
(9, 100.0, 0.3): 0.466666666667

Accuracy mean :0.7156989247311828
Std deviation :0.17069580049634359
Loss mean :0.2843010752688172
Std deviation :0.17069580049634359



Force_True_3dim, number of iterations: 10

Parameters info
Tradeoffs parameter: [1.e-02 1.e-01 1.e+00 1.e+01 1.e+02]
Gaussian kernel sigmas: [0.2   0.225 0.25  0.275 0.3  ]
Number of principal dimension considerated: 3
Dataset length: 150

Clusterization info
Minimum size of a cluster: in perc: 0.01, in int: 2
Type of mu: Binary Muzzifier
Fuzzifier: Linear
Cluster to label info
Force the number of cluster to be the number of different labels: True
Force the labels to be always represent by a cluster: True

Validation info
Conflict resolution: random


RESULTS

On TEST set

Accuracy on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 10.0, 0.25): 0.933333333333
(1, 10.0, 0.2): 0.8
(2, 1.0, 0.2): 0.733333333333
(3, 1.0, 0.225): 0.933333333333
(4, 10.0, 0.275): 0.866666666667
(5, 1.0, 0.2): 0.933333333333
(6, 10.0, 0.25): 0.866666666667
(7, 100.0, 0.3): 0.933333333333
(8, 1.0, 0.2): 0.866666666667
(9, 10.0, 0.225): 0.8

Loss on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 10.0, 0.25): 0.0666666666667
(1, 10.0, 0.2): 0.2
(2, 1.0, 0.2): 0.266666666667
(3, 1.0, 0.225): 0.0666666666667
(4, 10.0, 0.275): 0.133333333333
(5, 1.0, 0.2): 0.0666666666667
(6, 10.0, 0.25): 0.133333333333
(7, 100.0, 0.3): 0.0666666666667
(8, 1.0, 0.2): 0.133333333333
(9, 10.0, 0.225): 0.2

Accuracy mean :0.8666666666666668
Std deviation :0.06666666666666668
Loss mean :0.13333333333333336
Std deviation :0.06666666666666667

On TRAINING set

Accuracy on training set for every iteration (n_of_the_iter, c, sigma):
(0, 10.0, 0.25): 0.837037037037
(1, 10.0, 0.2): 0.8
(2, 1.0, 0.2): 0.851851851852
(3, 1.0, 0.225): 0.851851851852
(4, 10.0, 0.275): 0.955555555556
(5, 1.0, 0.2): 0.807407407407
(6, 10.0, 0.25): 0.918518518519
(7, 100.0, 0.3): 0.925925925926
(8, 1.0, 0.2): 0.859259259259
(9, 10.0, 0.225): 0.881481481481
Loss on training set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 10.0, 0.25): 0.162962962963
(1, 10.0, 0.2): 0.2
(2, 1.0, 0.2): 0.148148148148
(3, 1.0, 0.225): 0.148148148148
(4, 10.0, 0.275): 0.0444444444444
(5, 1.0, 0.2): 0.192592592593
(6, 10.0, 0.25): 0.0814814814815
(7, 100.0, 0.3): 0.0740740740741
(8, 1.0, 0.2): 0.140740740741
(9, 10.0, 0.225): 0.118518518519

Accuracy mean :0.8688888888888888
Std deviation :0.04857926646539139
Loss mean :0.13111111111111112
Std deviation :0.04857926646539139

On ALL the sets

Accuracy on all the set for every iteration, for every couple c,sigma (n_of_the_iter, c, sigma):
(0, 1.0, 0.2): 0.8
(0, 1.0, 0.225): 0.8
(0, 1.0, 0.25): 0.733333333333
(0, 1.0, 0.3): 0.733333333333
(0, 10.0, 0.2): 0.733333333333
(0, 10.0, 0.225): 0.8
(0, 10.0, 0.25): 0.933333333333
(0, 10.0, 0.3): 0.733333333333
(0, 100.0, 0.2): 0.733333333333
(0, 100.0, 0.225): 0.8
(0, 100.0, 0.25): 0.733333333333
(0, 100.0, 0.3): 0.733333333333
(1, 1.0, 0.2): 0.866666666667
(1, 1.0, 0.225): 0.866666666667
(1, 1.0, 0.25): 0.8
(1, 1.0, 0.275): 0.733333333333
(1, 10.0, 0.2): 0.866666666667
(1, 10.0, 0.225): 0.866666666667
(1, 10.0, 0.25): 0.8
(1, 10.0, 0.275): 0.733333333333
(1, 100.0, 0.225): 0.866666666667
(1, 100.0, 0.25): 0.8
(1, 100.0, 0.275): 0.733333333333
(2, 1.0, 0.2): 1.0
(2, 1.0, 0.225): 0.933333333333
(2, 1.0, 0.25): 0.866666666667
(2, 1.0, 0.275): 0.866666666667
(2, 1.0, 0.3): 0.866666666667
(2, 10.0, 0.2): 1.0
(2, 10.0, 0.225): 0.933333333333
(2, 10.0, 0.25): 0.866666666667
(2, 10.0, 0.275): 0.866666666667
(2, 100.0, 0.2): 0.933333333333
(2, 100.0, 0.225): 0.933333333333
(2, 100.0, 0.25): 0.866666666667
(2, 100.0, 0.275): 0.866666666667
(2, 100.0, 0.3): 0.866666666667
(3, 1.0, 0.2): 0.933333333333
(3, 1.0, 0.225): 0.933333333333
(3, 1.0, 0.25): 0.866666666667
(3, 1.0, 0.275): 0.733333333333
(3, 1.0, 0.3): 0.733333333333
(3, 10.0, 0.2): 0.933333333333
(3, 10.0, 0.225): 0.933333333333
(3, 10.0, 0.25): 0.866666666667
(3, 10.0, 0.275): 0.733333333333
(3, 10.0, 0.3): 0.733333333333
(3, 100.0, 0.2): 0.933333333333
(3, 100.0, 0.225): 0.933333333333
(3, 100.0, 0.25): 0.866666666667
(3, 100.0, 0.275): 0.733333333333
(3, 100.0, 0.3): 0.733333333333
(4, 1.0, 0.2): 0.866666666667
(4, 1.0, 0.225): 0.866666666667
(4, 1.0, 0.275): 0.933333333333
(4, 10.0, 0.2): 0.866666666667
(4, 10.0, 0.225): 0.866666666667
(4, 10.0, 0.275): 0.933333333333
(4, 100.0, 0.2): 0.866666666667
(4, 100.0, 0.225): 0.866666666667
(4, 100.0, 0.275): 0.933333333333
(5, 1.0, 0.2): 0.8
(5, 1.0, 0.225): 0.733333333333
(5, 1.0, 0.25): 0.666666666667
(5, 1.0, 0.275): 0.666666666667
(5, 1.0, 0.3): 0.666666666667
(5, 10.0, 0.2): 0.733333333333
(5, 10.0, 0.225): 0.733333333333
(5, 10.0, 0.25): 0.666666666667
(5, 10.0, 0.3): 0.666666666667
(5, 100.0, 0.2): 0.666666666667
(5, 100.0, 0.225): 0.733333333333
(5, 100.0, 0.275): 0.666666666667
(5, 100.0, 0.3): 0.666666666667
(6, 1.0, 0.2): 0.8
(6, 1.0, 0.225): 1.0
(6, 1.0, 0.25): 1.0
(6, 1.0, 0.275): 0.933333333333
(6, 1.0, 0.3): 0.8
(6, 10.0, 0.2): 0.8
(6, 10.0, 0.225): 1.0
(6, 10.0, 0.25): 1.0
(6, 10.0, 0.275): 0.933333333333
(6, 10.0, 0.3): 0.8
(6, 100.0, 0.2): 0.8
(6, 100.0, 0.225): 1.0
(6, 100.0, 0.25): 1.0
(6, 100.0, 0.275): 0.933333333333
(6, 100.0, 0.3): 0.8
(7, 1.0, 0.225): 0.933333333333
(7, 1.0, 0.25): 0.933333333333
(7, 1.0, 0.275): 1.0
(7, 1.0, 0.3): 1.0
(7, 10.0, 0.225): 0.933333333333
(7, 10.0, 0.25): 0.933333333333
(7, 10.0, 0.275): 1.0
(7, 10.0, 0.3): 1.0
(7, 100.0, 0.225): 0.866666666667
(7, 100.0, 0.25): 0.933333333333
(7, 100.0, 0.275): 1.0
(7, 100.0, 0.3): 1.0
(8, 1.0, 0.2): 0.933333333333
(8, 1.0, 0.225): 0.866666666667
(8, 1.0, 0.3): 0.8
(8, 10.0, 0.2): 0.866666666667
(8, 10.0, 0.25): 0.866666666667
(8, 10.0, 0.3): 0.8
(8, 100.0, 0.2): 0.866666666667
(8, 100.0, 0.225): 0.866666666667
(8, 100.0, 0.3): 0.8
(9, 0.1, 0.3): 0.866666666667
(9, 1.0, 0.225): 0.866666666667
(9, 1.0, 0.25): 0.6
(9, 1.0, 0.275): 0.6
(9, 1.0, 0.3): 0.866666666667
(9, 10.0, 0.2): 0.933333333333
(9, 10.0, 0.225): 0.933333333333
(9, 10.0, 0.25): 0.6
(9, 10.0, 0.275): 0.6
(9, 10.0, 0.3): 0.866666666667
(9, 100.0, 0.225): 0.933333333333
(9, 100.0, 0.25): 0.6
(9, 100.0, 0.275): 0.6
(9, 100.0, 0.3): 0.866666666667

Loss on all the set for every iteration, for every couple c,sigma (n_of_the_iter, best_c, best_sigma):
(0, 1.0, 0.2): 0.2
(0, 1.0, 0.225): 0.2
(0, 1.0, 0.25): 0.266666666667
(0, 1.0, 0.3): 0.266666666667
(0, 10.0, 0.2): 0.266666666667
(0, 10.0, 0.225): 0.2
(0, 10.0, 0.25): 0.0666666666667
(0, 10.0, 0.3): 0.266666666667
(0, 100.0, 0.2): 0.266666666667
(0, 100.0, 0.225): 0.2
(0, 100.0, 0.25): 0.266666666667
(0, 100.0, 0.3): 0.266666666667
(1, 1.0, 0.2): 0.133333333333
(1, 1.0, 0.225): 0.133333333333
(1, 1.0, 0.25): 0.2
(1, 1.0, 0.275): 0.266666666667
(1, 10.0, 0.2): 0.133333333333
(1, 10.0, 0.225): 0.133333333333
(1, 10.0, 0.25): 0.2
(1, 10.0, 0.275): 0.266666666667
(1, 100.0, 0.225): 0.133333333333
(1, 100.0, 0.25): 0.2
(1, 100.0, 0.275): 0.266666666667
(2, 1.0, 0.2): 0.0
(2, 1.0, 0.225): 0.0666666666667
(2, 1.0, 0.25): 0.133333333333
(2, 1.0, 0.275): 0.133333333333
(2, 1.0, 0.3): 0.133333333333
(2, 10.0, 0.2): 0.0
(2, 10.0, 0.225): 0.0666666666667
(2, 10.0, 0.25): 0.133333333333
(2, 10.0, 0.275): 0.133333333333
(2, 100.0, 0.2): 0.0666666666667
(2, 100.0, 0.225): 0.0666666666667
(2, 100.0, 0.25): 0.133333333333
(2, 100.0, 0.275): 0.133333333333
(2, 100.0, 0.3): 0.133333333333
(3, 1.0, 0.2): 0.0666666666667
(3, 1.0, 0.225): 0.0666666666667
(3, 1.0, 0.25): 0.133333333333
(3, 1.0, 0.275): 0.266666666667
(3, 1.0, 0.3): 0.266666666667
(3, 10.0, 0.2): 0.0666666666667
(3, 10.0, 0.225): 0.0666666666667
(3, 10.0, 0.25): 0.133333333333
(3, 10.0, 0.275): 0.266666666667
(3, 10.0, 0.3): 0.266666666667
(3, 100.0, 0.2): 0.0666666666667
(3, 100.0, 0.225): 0.0666666666667
(3, 100.0, 0.25): 0.133333333333
(3, 100.0, 0.275): 0.266666666667
(3, 100.0, 0.3): 0.266666666667
(4, 1.0, 0.2): 0.133333333333
(4, 1.0, 0.225): 0.133333333333
(4, 1.0, 0.275): 0.0666666666667
(4, 10.0, 0.2): 0.133333333333
(4, 10.0, 0.225): 0.133333333333
(4, 10.0, 0.275): 0.0666666666667
(4, 100.0, 0.2): 0.133333333333
(4, 100.0, 0.225): 0.133333333333
(4, 100.0, 0.275): 0.0666666666667
(5, 1.0, 0.2): 0.2
(5, 1.0, 0.225): 0.266666666667
(5, 1.0, 0.25): 0.333333333333
(5, 1.0, 0.275): 0.333333333333
(5, 1.0, 0.3): 0.333333333333
(5, 10.0, 0.2): 0.266666666667
(5, 10.0, 0.225): 0.266666666667
(5, 10.0, 0.25): 0.333333333333
(5, 10.0, 0.3): 0.333333333333
(5, 100.0, 0.2): 0.333333333333
(5, 100.0, 0.225): 0.266666666667
(5, 100.0, 0.275): 0.333333333333
(5, 100.0, 0.3): 0.333333333333
(6, 1.0, 0.2): 0.2
(6, 1.0, 0.225): 0.0
(6, 1.0, 0.25): 0.0
(6, 1.0, 0.275): 0.0666666666667
(6, 1.0, 0.3): 0.2
(6, 10.0, 0.2): 0.2
(6, 10.0, 0.225): 0.0
(6, 10.0, 0.25): 0.0
(6, 10.0, 0.275): 0.0666666666667
(6, 10.0, 0.3): 0.2
(6, 100.0, 0.2): 0.2
(6, 100.0, 0.225): 0.0
(6, 100.0, 0.25): 0.0
(6, 100.0, 0.275): 0.0666666666667
(6, 100.0, 0.3): 0.2
(7, 1.0, 0.225): 0.0666666666667
(7, 1.0, 0.25): 0.0666666666667
(7, 1.0, 0.275): 0.0
(7, 1.0, 0.3): 0.0
(7, 10.0, 0.225): 0.0666666666667
(7, 10.0, 0.25): 0.0666666666667
(7, 10.0, 0.275): 0.0
(7, 10.0, 0.3): 0.0
(7, 100.0, 0.225): 0.133333333333
(7, 100.0, 0.25): 0.0666666666667
(7, 100.0, 0.275): 0.0
(7, 100.0, 0.3): 0.0
(8, 1.0, 0.2): 0.0666666666667
(8, 1.0, 0.225): 0.133333333333
(8, 1.0, 0.3): 0.2
(8, 10.0, 0.2): 0.133333333333
(8, 10.0, 0.25): 0.133333333333
(8, 10.0, 0.3): 0.2
(8, 100.0, 0.2): 0.133333333333
(8, 100.0, 0.225): 0.133333333333
(8, 100.0, 0.3): 0.2
(9, 0.1, 0.3): 0.133333333333
(9, 1.0, 0.225): 0.133333333333
(9, 1.0, 0.25): 0.4
(9, 1.0, 0.275): 0.4
(9, 1.0, 0.3): 0.133333333333
(9, 10.0, 0.2): 0.0666666666667
(9, 10.0, 0.225): 0.0666666666667
(9, 10.0, 0.25): 0.4
(9, 10.0, 0.275): 0.4
(9, 10.0, 0.3): 0.133333333333
(9, 100.0, 0.225): 0.0666666666667
(9, 100.0, 0.25): 0.4
(9, 100.0, 0.275): 0.4
(9, 100.0, 0.3): 0.133333333333

Accuracy mean :0.839247311827957
Std deviation :0.10809928291109064
Loss mean :0.160752688172043
Std deviation :0.10809928291109062



Force_False_3dim, number of iterations: 10

Parameters info
Tradeoffs parameter: [1.e-02 1.e-01 1.e+00 1.e+01 1.e+02]
Gaussian kernel sigmas: [0.2   0.225 0.25  0.275 0.3  ]
Number of principal dimension considerated: 3
Dataset length: 150

Clusterization info
Minimum size of a cluster: in perc: 0.01, in int: 2
Type of mu: Binary Muzzifier
Fuzzifier: Linear
Cluster to label info
Force the number of cluster to be the number of different labels: False
Force the labels to be always represent by a cluster: False

Validation info
Conflict resolution: random


RESULTS

On TEST set

Accuracy on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 10.0, 0.25): 0.933333333333
(1, 100.0, 0.225): 0.866666666667
(2, 1.0, 0.225): 1.0
(3, 10.0, 0.225): 0.866666666667
(4, 10.0, 0.225): 0.733333333333
(5, 10.0, 0.2): 1.0
(6, 10.0, 0.275): 0.533333333333
(7, 100.0, 0.225): 0.866666666667
(8, 1.0, 0.225): 0.866666666667
(9, 10.0, 0.225): 0.8

Loss on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 10.0, 0.25): 0.0666666666667
(1, 100.0, 0.225): 0.133333333333
(2, 1.0, 0.225): 0.0
(3, 10.0, 0.225): 0.133333333333
(4, 10.0, 0.225): 0.266666666667
(5, 10.0, 0.2): 0.0
(6, 10.0, 0.275): 0.466666666667
(7, 100.0, 0.225): 0.133333333333
(8, 1.0, 0.225): 0.133333333333
(9, 10.0, 0.225): 0.2

Accuracy mean :0.8466666666666669
Std deviation :0.13012814197295425
Loss mean :0.15333333333333332
Std deviation :0.13012814197295425

On TRAINING set

Accuracy on training set for every iteration (n_of_the_iter, c, sigma):
(0, 10.0, 0.25): 0.851851851852
(1, 100.0, 0.225): 0.866666666667
(2, 1.0, 0.225): 0.918518518519
(3, 10.0, 0.225): 0.940740740741
(4, 10.0, 0.225): 0.866666666667
(5, 10.0, 0.2): 0.903703703704
(6, 10.0, 0.275): 0.681481481481
(7, 100.0, 0.225): 0.859259259259
(8, 1.0, 0.225): 0.851851851852
(9, 10.0, 0.225): 0.925925925926
Loss on training set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 10.0, 0.25): 0.148148148148
(1, 100.0, 0.225): 0.133333333333
(2, 1.0, 0.225): 0.0814814814815
(3, 10.0, 0.225): 0.0592592592593
(4, 10.0, 0.225): 0.133333333333
(5, 10.0, 0.2): 0.0962962962963
(6, 10.0, 0.275): 0.318518518519
(7, 100.0, 0.225): 0.140740740741
(8, 1.0, 0.225): 0.148148148148
(9, 10.0, 0.225): 0.0740740740741

Accuracy mean :0.8666666666666666
Std deviation :0.06917106684402223
Loss mean :0.13333333333333336
Std deviation :0.06917106684402223

On ALL the sets

Accuracy on all the set for every iteration, for every couple c,sigma (n_of_the_iter, c, sigma):
(0, 1.0, 0.2): 0.733333333333
(0, 1.0, 0.225): 0.866666666667
(0, 1.0, 0.25): 0.733333333333
(0, 1.0, 0.275): 0.6
(0, 1.0, 0.3): 0.733333333333
(0, 10.0, 0.2): 0.733333333333
(0, 10.0, 0.225): 0.866666666667
(0, 10.0, 0.25): 0.933333333333
(0, 10.0, 0.275): 0.6
(0, 10.0, 0.3): 0.733333333333
(0, 100.0, 0.2): 0.666666666667
(0, 100.0, 0.225): 0.866666666667
(0, 100.0, 0.25): 0.733333333333
(0, 100.0, 0.275): 0.6
(0, 100.0, 0.3): 0.733333333333
(1, 0.1, 0.3): 0.4
(1, 1.0, 0.2): 0.866666666667
(1, 1.0, 0.225): 0.933333333333
(1, 1.0, 0.25): 0.866666666667
(1, 1.0, 0.275): 0.733333333333
(1, 1.0, 0.3): 0.4
(1, 10.0, 0.2): 0.866666666667
(1, 10.0, 0.225): 0.933333333333
(1, 10.0, 0.25): 0.866666666667
(1, 10.0, 0.275): 0.733333333333
(1, 10.0, 0.3): 0.4
(1, 100.0, 0.225): 0.933333333333
(1, 100.0, 0.25): 0.866666666667
(1, 100.0, 0.275): 0.733333333333
(1, 100.0, 0.3): 0.4
(2, 0.1, 0.225): 0.933333333333
(2, 0.1, 0.25): 0.933333333333
(2, 1.0, 0.2): 0.866666666667
(2, 1.0, 0.225): 0.933333333333
(2, 1.0, 0.25): 0.933333333333
(2, 1.0, 0.275): 0.6
(2, 1.0, 0.3): 0.666666666667
(2, 10.0, 0.2): 0.8
(2, 10.0, 0.225): 0.933333333333
(2, 10.0, 0.25): 0.933333333333
(2, 10.0, 0.275): 0.6
(2, 10.0, 0.3): 0.666666666667
(2, 100.0, 0.2): 0.8
(2, 100.0, 0.225): 0.933333333333
(2, 100.0, 0.25): 0.933333333333
(2, 100.0, 0.275): 0.6
(2, 100.0, 0.3): 0.666666666667
(3, 1.0, 0.2): 0.8
(3, 1.0, 0.225): 0.933333333333
(3, 1.0, 0.25): 0.866666666667
(3, 1.0, 0.275): 0.533333333333
(3, 1.0, 0.3): 0.866666666667
(3, 10.0, 0.2): 0.8
(3, 10.0, 0.225): 0.933333333333
(3, 10.0, 0.25): 0.866666666667
(3, 10.0, 0.275): 0.533333333333
(3, 10.0, 0.3): 0.866666666667
(3, 100.0, 0.2): 0.8
(3, 100.0, 0.25): 0.866666666667
(3, 100.0, 0.275): 0.533333333333
(3, 100.0, 0.3): 0.866666666667
(4, 1.0, 0.2): 0.2
(4, 1.0, 0.225): 0.933333333333
(4, 1.0, 0.25): 0.533333333333
(4, 1.0, 0.275): 0.533333333333
(4, 1.0, 0.3): 0.533333333333
(4, 10.0, 0.2): 0.666666666667
(4, 10.0, 0.225): 0.933333333333
(4, 10.0, 0.25): 0.533333333333
(4, 10.0, 0.275): 0.533333333333
(4, 10.0, 0.3): 0.533333333333
(4, 100.0, 0.2): 0.666666666667
(4, 100.0, 0.225): 0.933333333333
(4, 100.0, 0.25): 0.533333333333
(4, 100.0, 0.275): 0.533333333333
(4, 100.0, 0.3): 0.533333333333
(5, 0.1, 0.225): 0.533333333333
(5, 0.1, 0.25): 0.533333333333
(5, 0.1, 0.275): 0.533333333333
(5, 1.0, 0.2): 0.8
(5, 1.0, 0.225): 0.533333333333
(5, 1.0, 0.25): 0.533333333333
(5, 1.0, 0.275): 0.533333333333
(5, 1.0, 0.3): 0.6
(5, 10.0, 0.2): 0.8
(5, 10.0, 0.225): 0.533333333333
(5, 10.0, 0.25): 0.533333333333
(5, 10.0, 0.275): 0.533333333333
(5, 10.0, 0.3): 0.6
(5, 100.0, 0.2): 0.8
(5, 100.0, 0.225): 0.533333333333
(5, 100.0, 0.25): 0.533333333333
(5, 100.0, 0.275): 0.533333333333
(5, 100.0, 0.3): 0.666666666667
(6, 1.0, 0.2): 0.8
(6, 1.0, 0.225): 0.866666666667
(6, 1.0, 0.25): 0.6
(6, 1.0, 0.275): 0.933333333333
(6, 1.0, 0.3): 0.933333333333
(6, 10.0, 0.2): 0.8
(6, 10.0, 0.225): 0.866666666667
(6, 10.0, 0.25): 0.6
(6, 10.0, 0.275): 0.933333333333
(6, 10.0, 0.3): 0.933333333333
(6, 100.0, 0.2): 0.8
(6, 100.0, 0.225): 0.866666666667
(6, 100.0, 0.25): 0.933333333333
(6, 100.0, 0.275): 0.933333333333
(6, 100.0, 0.3): 0.866666666667
(7, 0.1, 0.275): 0.733333333333
(7, 1.0, 0.2): 0.8
(7, 1.0, 0.225): 0.933333333333
(7, 1.0, 0.25): 0.866666666667
(7, 1.0, 0.275): 0.733333333333
(7, 1.0, 0.3): 0.733333333333
(7, 10.0, 0.2): 0.8
(7, 10.0, 0.225): 0.933333333333
(7, 10.0, 0.25): 0.866666666667
(7, 10.0, 0.275): 0.733333333333
(7, 10.0, 0.3): 0.733333333333
(7, 100.0, 0.2): 0.8
(7, 100.0, 0.225): 0.933333333333
(7, 100.0, 0.25): 0.866666666667
(7, 100.0, 0.275): 0.733333333333
(7, 100.0, 0.3): 0.733333333333
(8, 1.0, 0.2): 0.333333333333
(8, 1.0, 0.225): 0.933333333333
(8, 1.0, 0.25): 0.866666666667
(8, 1.0, 0.275): 0.2
(8, 1.0, 0.3): 0.866666666667
(8, 10.0, 0.225): 0.666666666667
(8, 10.0, 0.275): 0.666666666667
(8, 10.0, 0.3): 0.866666666667
(8, 100.0, 0.2): 0.333333333333
(8, 100.0, 0.225): 0.466666666667
(8, 100.0, 0.275): 0.866666666667
(8, 100.0, 0.3): 0.866666666667
(9, 1.0, 0.225): 1.0
(9, 1.0, 0.25): 0.866666666667
(9, 1.0, 0.275): 0.2
(9, 1.0, 0.3): 0.2
(9, 10.0, 0.2): 0.933333333333
(9, 10.0, 0.225): 1.0
(9, 10.0, 0.25): 0.866666666667
(9, 10.0, 0.275): 0.4
(9, 10.0, 0.3): 0.6
(9, 100.0, 0.225): 1.0
(9, 100.0, 0.25): 0.866666666667
(9, 100.0, 0.275): 0.4
(9, 100.0, 0.3): 0.666666666667

Loss on all the set for every iteration, for every couple c,sigma (n_of_the_iter, best_c, best_sigma):
(0, 1.0, 0.2): 0.266666666667
(0, 1.0, 0.225): 0.133333333333
(0, 1.0, 0.25): 0.266666666667
(0, 1.0, 0.275): 0.4
(0, 1.0, 0.3): 0.266666666667
(0, 10.0, 0.2): 0.266666666667
(0, 10.0, 0.225): 0.133333333333
(0, 10.0, 0.25): 0.0666666666667
(0, 10.0, 0.275): 0.4
(0, 10.0, 0.3): 0.266666666667
(0, 100.0, 0.2): 0.333333333333
(0, 100.0, 0.225): 0.133333333333
(0, 100.0, 0.25): 0.266666666667
(0, 100.0, 0.275): 0.4
(0, 100.0, 0.3): 0.266666666667
(1, 0.1, 0.3): 0.6
(1, 1.0, 0.2): 0.133333333333
(1, 1.0, 0.225): 0.0666666666667
(1, 1.0, 0.25): 0.133333333333
(1, 1.0, 0.275): 0.266666666667
(1, 1.0, 0.3): 0.6
(1, 10.0, 0.2): 0.133333333333
(1, 10.0, 0.225): 0.0666666666667
(1, 10.0, 0.25): 0.133333333333
(1, 10.0, 0.275): 0.266666666667
(1, 10.0, 0.3): 0.6
(1, 100.0, 0.225): 0.0666666666667
(1, 100.0, 0.25): 0.133333333333
(1, 100.0, 0.275): 0.266666666667
(1, 100.0, 0.3): 0.6
(2, 0.1, 0.225): 0.0666666666667
(2, 0.1, 0.25): 0.0666666666667
(2, 1.0, 0.2): 0.133333333333
(2, 1.0, 0.225): 0.0666666666667
(2, 1.0, 0.25): 0.0666666666667
(2, 1.0, 0.275): 0.4
(2, 1.0, 0.3): 0.333333333333
(2, 10.0, 0.2): 0.2
(2, 10.0, 0.225): 0.0666666666667
(2, 10.0, 0.25): 0.0666666666667
(2, 10.0, 0.275): 0.4
(2, 10.0, 0.3): 0.333333333333
(2, 100.0, 0.2): 0.2
(2, 100.0, 0.225): 0.0666666666667
(2, 100.0, 0.25): 0.0666666666667
(2, 100.0, 0.275): 0.4
(2, 100.0, 0.3): 0.333333333333
(3, 1.0, 0.2): 0.2
(3, 1.0, 0.225): 0.0666666666667
(3, 1.0, 0.25): 0.133333333333
(3, 1.0, 0.275): 0.466666666667
(3, 1.0, 0.3): 0.133333333333
(3, 10.0, 0.2): 0.2
(3, 10.0, 0.225): 0.0666666666667
(3, 10.0, 0.25): 0.133333333333
(3, 10.0, 0.275): 0.466666666667
(3, 10.0, 0.3): 0.133333333333
(3, 100.0, 0.2): 0.2
(3, 100.0, 0.25): 0.133333333333
(3, 100.0, 0.275): 0.466666666667
(3, 100.0, 0.3): 0.133333333333
(4, 1.0, 0.2): 0.8
(4, 1.0, 0.225): 0.0666666666667
(4, 1.0, 0.25): 0.466666666667
(4, 1.0, 0.275): 0.466666666667
(4, 1.0, 0.3): 0.466666666667
(4, 10.0, 0.2): 0.333333333333
(4, 10.0, 0.225): 0.0666666666667
(4, 10.0, 0.25): 0.466666666667
(4, 10.0, 0.275): 0.466666666667
(4, 10.0, 0.3): 0.466666666667
(4, 100.0, 0.2): 0.333333333333
(4, 100.0, 0.225): 0.0666666666667
(4, 100.0, 0.25): 0.466666666667
(4, 100.0, 0.275): 0.466666666667
(4, 100.0, 0.3): 0.466666666667
(5, 0.1, 0.225): 0.466666666667
(5, 0.1, 0.25): 0.466666666667
(5, 0.1, 0.275): 0.466666666667
(5, 1.0, 0.2): 0.2
(5, 1.0, 0.225): 0.466666666667
(5, 1.0, 0.25): 0.466666666667
(5, 1.0, 0.275): 0.466666666667
(5, 1.0, 0.3): 0.4
(5, 10.0, 0.2): 0.2
(5, 10.0, 0.225): 0.466666666667
(5, 10.0, 0.25): 0.466666666667
(5, 10.0, 0.275): 0.466666666667
(5, 10.0, 0.3): 0.4
(5, 100.0, 0.2): 0.2
(5, 100.0, 0.225): 0.466666666667
(5, 100.0, 0.25): 0.466666666667
(5, 100.0, 0.275): 0.466666666667
(5, 100.0, 0.3): 0.333333333333
(6, 1.0, 0.2): 0.2
(6, 1.0, 0.225): 0.133333333333
(6, 1.0, 0.25): 0.4
(6, 1.0, 0.275): 0.0666666666667
(6, 1.0, 0.3): 0.0666666666667
(6, 10.0, 0.2): 0.2
(6, 10.0, 0.225): 0.133333333333
(6, 10.0, 0.25): 0.4
(6, 10.0, 0.275): 0.0666666666667
(6, 10.0, 0.3): 0.0666666666667
(6, 100.0, 0.2): 0.2
(6, 100.0, 0.225): 0.133333333333
(6, 100.0, 0.25): 0.0666666666667
(6, 100.0, 0.275): 0.0666666666667
(6, 100.0, 0.3): 0.133333333333
(7, 0.1, 0.275): 0.266666666667
(7, 1.0, 0.2): 0.2
(7, 1.0, 0.225): 0.0666666666667
(7, 1.0, 0.25): 0.133333333333
(7, 1.0, 0.275): 0.266666666667
(7, 1.0, 0.3): 0.266666666667
(7, 10.0, 0.2): 0.2
(7, 10.0, 0.225): 0.0666666666667
(7, 10.0, 0.25): 0.133333333333
