Binary Muzzifier_2dim, number of iterations: 10

Parameters info
Tradeoffs parameter: [  0.1   1.   10.  100. ]
Gaussian kernel sigmas: [0.05 0.1  0.2  0.3 ]
Number of principal dimension considerated: 2
Dataset length: 150

Clusterization info
Minimum size of a cluster: in perc: 0.01, in int: 2
Type of mu: Binary Muzzifier
Fuzzifier: Linear
Cluster to label info
Force the number of cluster to be the number of different labels: False
Force the labels to be always represent by a cluster: False

Validation info
Conflict resolution: random


RESULTS

On TEST set

Accuracy on test set for every iteration (n_of_the_iter, best_c, best_sigma):
Type of mu: Linear Muzzifier
Fuzzifier: Linear
Cluster to label info
Force the number of cluster to be the number of different labels: False
Force the labels to be always represent by a cluster: False

Validation info
Conflict resolution: random


RESULTS

On TEST set

Accuracy on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 10.0, 0.2): 0.733333333333
(1, 1.0, 0.2): 0.866666666667
(2, 10.0, 0.2): 0.733333333333
(3, 100.0, 0.3): 0.533333333333
(4, 10.0, 0.2): 0.8
(5, 100.0, 0.2): 0.933333333333
(6, 100.0, 0.2): 0.8
(7, 10.0, 0.2): 0.866666666667
(8, 1.0, 0.3): 0.666666666667
(9, 1.0, 0.3): 0.733333333333

Loss on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 10.0, 0.2): 0.266666666667
(1, 1.0, 0.2): 0.133333333333
(2, 10.0, 0.2): 0.266666666667
(3, 100.0, 0.3): 0.466666666667
(4, 10.0, 0.2): 0.2
(5, 100.0, 0.2): 0.0666666666667
(6, 100.0, 0.2): 0.2
(7, 10.0, 0.2): 0.133333333333
(8, 1.0, 0.3): 0.333333333333
(9, 1.0, 0.3): 0.266666666667

Accuracy mean :0.7666666666666666
Std deviation :0.10852547064066473
Loss mean :0.23333333333333334
Std deviation :0.1085254706406647

On TRAINING set

Accuracy on training set for every iteration (n_of_the_iter, c, sigma):
(0, 10.0, 0.2): 0.940740740741
(1, 1.0, 0.2): 0.888888888889
(2, 10.0, 0.2): 0.6
(3, 100.0, 0.3): 0.681481481481
(4, 10.0, 0.2): 0.844444444444
(5, 100.0, 0.2): 0.918518518519
(6, 100.0, 0.2): 0.874074074074
(7, 10.0, 0.2): 0.888888888889
(8, 1.0, 0.3): 0.666666666667
(9, 1.0, 0.3): 0.659259259259
Loss on training set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 10.0, 0.2): 0.0592592592593
(1, 1.0, 0.2): 0.111111111111
(2, 10.0, 0.2): 0.4
(3, 100.0, 0.3): 0.318518518519
(4, 10.0, 0.2): 0.155555555556
(5, 100.0, 0.2): 0.0814814814815
(6, 100.0, 0.2): 0.125925925926
(7, 10.0, 0.2): 0.111111111111
(8, 1.0, 0.3): 0.333333333333
(9, 1.0, 0.3): 0.340740740741

Accuracy mean :0.7962962962962963
Std deviation :0.12190756353335602
Loss mean :0.20370370370370372
Std deviation :0.12190756353335601

On ALL the sets

Accuracy on all the set for every iteration, for every couple c,sigma (n_of_the_iter, c, sigma):
(0, 1.0, 0.2): 0.933333333333
(0, 1.0, 0.3): 0.666666666667
(0, 10.0, 0.2): 0.933333333333
(0, 10.0, 0.3): 0.733333333333
(0, 100.0, 0.3): 0.666666666667
(1, 1.0, 0.2): 1.0
(1, 1.0, 0.3): 0.4
(1, 10.0, 0.2): 0.866666666667
(1, 10.0, 0.3): 0.866666666667
(1, 100.0, 0.2): 0.933333333333
(1, 100.0, 0.3): 0.933333333333
(2, 0.1, 0.3): 0.333333333333
(2, 1.0, 0.2): 0.933333333333
(2, 1.0, 0.3): 0.333333333333
(2, 10.0, 0.2): 0.933333333333
(2, 10.0, 0.3): 0.333333333333
(2, 100.0, 0.2): 0.933333333333
(2, 100.0, 0.3): 0.333333333333
(3, 0.1, 0.3): 0.866666666667
(3, 1.0, 0.3): 0.333333333333
(3, 10.0, 0.3): 0.333333333333
(3, 100.0, 0.2): 0.666666666667
(3, 100.0, 0.3): 0.866666666667
(4, 1.0, 0.2): 0.933333333333
(4, 1.0, 0.3): 0.4
(4, 10.0, 0.2): 0.933333333333
(4, 10.0, 0.3): 0.4
(4, 100.0, 0.2): 0.933333333333
(4, 100.0, 0.3): 0.466666666667
(5, 1.0, 0.2): 0.933333333333
(5, 1.0, 0.3): 0.666666666667
(5, 10.0, 0.2): 0.933333333333
(5, 10.0, 0.3): 0.666666666667
(5, 100.0, 0.2): 0.933333333333
(5, 100.0, 0.3): 0.666666666667
(6, 1.0, 0.2): 0.2
(6, 1.0, 0.3): 0.6
(6, 10.0, 0.2): 0.866666666667
(6, 10.0, 0.3): 0.666666666667
(6, 100.0, 0.2): 0.866666666667
(6, 100.0, 0.3): 0.666666666667
(7, 0.1, 0.3): 0.466666666667
(7, 1.0, 0.2): 0.866666666667
(7, 1.0, 0.3): 0.466666666667
(7, 10.0, 0.2): 0.933333333333
(7, 10.0, 0.3): 0.466666666667
(7, 100.0, 0.2): 0.933333333333
(7, 100.0, 0.3): 0.466666666667
(8, 0.1, 0.3): 0.866666666667
(8, 1.0, 0.2): 0.866666666667
(8, 1.0, 0.3): 0.933333333333
(8, 10.0, 0.2): 0.866666666667
(8, 10.0, 0.3): 0.733333333333
(8, 100.0, 0.2): 0.266666666667
(8, 100.0, 0.3): 0.666666666667
(9, 1.0, 0.3): 0.333333333333
(9, 10.0, 0.3): 0.333333333333
(9, 100.0, 0.3): 0.333333333333

Loss on all the set for every iteration, for every couple c,sigma (n_of_the_iter, best_c, best_sigma):
(0, 1.0, 0.2): 0.0666666666667
(0, 1.0, 0.3): 0.333333333333
(0, 10.0, 0.2): 0.0666666666667
(0, 10.0, 0.3): 0.266666666667
(0, 100.0, 0.3): 0.333333333333
(1, 1.0, 0.2): 0.0
(1, 1.0, 0.3): 0.6
(1, 10.0, 0.2): 0.133333333333
(1, 10.0, 0.3): 0.133333333333
(1, 100.0, 0.2): 0.0666666666667
(1, 100.0, 0.3): 0.0666666666667
(2, 0.1, 0.3): 0.666666666667
(2, 1.0, 0.2): 0.0666666666667
(2, 1.0, 0.3): 0.666666666667
(2, 10.0, 0.2): 0.0666666666667
(2, 10.0, 0.3): 0.666666666667
(2, 100.0, 0.2): 0.0666666666667
(2, 100.0, 0.3): 0.666666666667
(3, 0.1, 0.3): 0.133333333333
(3, 1.0, 0.3): 0.666666666667
(3, 10.0, 0.3): 0.666666666667
(3, 100.0, 0.2): 0.333333333333
(3, 100.0, 0.3): 0.133333333333
(4, 1.0, 0.2): 0.0666666666667
(4, 1.0, 0.3): 0.6
(4, 10.0, 0.2): 0.0666666666667
(4, 10.0, 0.3): 0.6
(4, 100.0, 0.2): 0.0666666666667
(4, 100.0, 0.3): 0.533333333333
(5, 1.0, 0.2): 0.0666666666667
(5, 1.0, 0.3): 0.333333333333
(5, 10.0, 0.2): 0.0666666666667
(5, 10.0, 0.3): 0.333333333333
(5, 100.0, 0.2): 0.0666666666667
(5, 100.0, 0.3): 0.333333333333
(6, 1.0, 0.2): 0.8
(6, 1.0, 0.3): 0.4
(6, 10.0, 0.2): 0.133333333333
(6, 10.0, 0.3): 0.333333333333
(6, 100.0, 0.2): 0.133333333333
(6, 100.0, 0.3): 0.333333333333
(7, 0.1, 0.3): 0.533333333333
(7, 1.0, 0.2): 0.133333333333
(7, 1.0, 0.3): 0.533333333333
(7, 10.0, 0.2): 0.0666666666667
(7, 10.0, 0.3): 0.533333333333
(7, 100.0, 0.2): 0.0666666666667
(7, 100.0, 0.3): 0.533333333333
(8, 0.1, 0.3): 0.133333333333
(8, 1.0, 0.2): 0.133333333333
(8, 1.0, 0.3): 0.0666666666667
(8, 10.0, 0.2): 0.133333333333
(8, 10.0, 0.3): 0.266666666667
(8, 100.0, 0.2): 0.733333333333
(8, 100.0, 0.3): 0.333333333333
(9, 1.0, 0.3): 0.666666666667
(9, 10.0, 0.3): 0.666666666667
(9, 100.0, 0.3): 0.666666666667

Accuracy mean :0.6839080459770115
Std deviation :0.24339877716318603
Loss mean :0.3160919540229885
Std deviation :0.24339877716318603



Binary Muzzifier_4dim, number of iterations: 10

Parameters info
Tradeoffs parameter: [  0.1   1.   10.  100. ]
Gaussian kernel sigmas: [0.05 0.1  0.2  0.3 ]
Number of principal dimension considerated: 4
Dataset length: 150

Clusterization info
Minimum size of a cluster: in perc: 0.01, in int: 2
Type of mu: Binary Muzzifier
Fuzzifier: Linear
Cluster to label info
Force the number of cluster to be the number of different labels: False
Force the labels to be always represent by a cluster: False

Validation info
Conflict resolution: random


RESULTS

On TEST set

Accuracy on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 100.0, 0.3): 0.6
(1, 10.0, 0.3): 0.733333333333
(2, 100.0, 0.3): 0.733333333333
(3, 1.0, 0.3): 0.6
(4, 1.0, 0.3): 0.533333333333
(5, 0.1, 0.3): 0.666666666667
(6, 100.0, 0.3): 0.666666666667
(7, 10.0, 0.3): 0.6
(8, 10.0, 0.3): 0.6
(9, 1.0, 0.2): 0.133333333333

Loss on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 100.0, 0.3): 0.4
(1, 10.0, 0.3): 0.266666666667
(2, 100.0, 0.3): 0.266666666667
(3, 1.0, 0.3): 0.4
(4, 1.0, 0.3): 0.466666666667
(5, 0.1, 0.3): 0.333333333333
(6, 100.0, 0.3): 0.333333333333
(7, 10.0, 0.3): 0.4
(8, 10.0, 0.3): 0.4
(9, 1.0, 0.2): 0.866666666667

Accuracy mean :0.5866666666666667
Std deviation :0.16275407487644938
Loss mean :0.4133333333333334
Std deviation :0.16275407487644938

On TRAINING set

Accuracy on training set for every iteration (n_of_the_iter, c, sigma):
(0, 100.0, 0.3): 0.666666666667
(1, 10.0, 0.3): 0.659259259259
(2, 100.0, 0.3): 0.918518518519
(3, 1.0, 0.3): 0.674074074074
(4, 1.0, 0.3): 0.681481481481
(5, 0.1, 0.3): 0.666666666667
(6, 100.0, 0.3): 0.666666666667
(7, 10.0, 0.3): 0.674074074074
(8, 10.0, 0.3): 0.674074074074
(9, 1.0, 0.2): 0.355555555556
Loss on training set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 100.0, 0.3): 0.333333333333
(1, 10.0, 0.3): 0.340740740741
(2, 100.0, 0.3): 0.0814814814815
(3, 1.0, 0.3): 0.325925925926
(4, 1.0, 0.3): 0.318518518519
(5, 0.1, 0.3): 0.333333333333
(6, 100.0, 0.3): 0.333333333333
(7, 10.0, 0.3): 0.325925925926
(8, 10.0, 0.3): 0.325925925926
(9, 1.0, 0.2): 0.644444444444

Accuracy mean :0.6637037037037037
Std deviation :0.12671647277240353
Loss mean :0.3362962962962963
Std deviation :0.12671647277240355

On ALL the sets

Accuracy on all the set for every iteration, for every couple c,sigma (n_of_the_iter, c, sigma):
(0, 0.1, 0.3): 0.6
(0, 1.0, 0.2): 0.466666666667
(0, 1.0, 0.3): 0.6
(0, 10.0, 0.2): 0.266666666667
(0, 10.0, 0.3): 0.6
(0, 100.0, 0.2): 0.0666666666667
(0, 100.0, 0.3): 0.6
(1, 0.1, 0.3): 0.466666666667
(1, 1.0, 0.2): 0.266666666667
(1, 1.0, 0.3): 0.466666666667
(1, 10.0, 0.2): 0.133333333333
(1, 10.0, 0.3): 0.466666666667
(1, 100.0, 0.3): 0.466666666667
(2, 0.1, 0.3): 0.8
(2, 1.0, 0.2): 0.533333333333
(2, 1.0, 0.3): 0.8
(2, 10.0, 0.2): 0.333333333333
(2, 10.0, 0.3): 0.8
(2, 100.0, 0.2): 0.333333333333
(2, 100.0, 0.3): 0.8
(3, 1.0, 0.2): 0.2
(3, 1.0, 0.3): 0.4
(3, 10.0, 0.2): 0.2
(3, 10.0, 0.3): 0.4
(3, 100.0, 0.2): 0.2
(3, 100.0, 0.3): 0.4
(4, 0.1, 0.3): 0.533333333333
(4, 1.0, 0.2): 0.6
(4, 1.0, 0.3): 0.8
(4, 10.0, 0.2): 0.6
(4, 10.0, 0.3): 0.533333333333
(4, 100.0, 0.3): 0.533333333333
(5, 0.1, 0.3): 0.533333333333
(5, 1.0, 0.2): 0.266666666667
(5, 1.0, 0.3): 0.533333333333
(5, 10.0, 0.2): 0.2
(5, 10.0, 0.3): 0.533333333333
(5, 100.0, 0.2): 0.266666666667
(5, 100.0, 0.3): 0.533333333333
(6, 0.1, 0.3): 0.733333333333
(6, 1.0, 0.3): 0.733333333333
(6, 10.0, 0.3): 0.733333333333
(6, 100.0, 0.3): 0.733333333333
(7, 0.1, 0.3): 0.533333333333
(7, 1.0, 0.2): 0.2
(7, 1.0, 0.3): 0.533333333333
(7, 10.0, 0.2): 0.2
(7, 10.0, 0.3): 0.533333333333
(7, 100.0, 0.2): 0.2
(7, 100.0, 0.3): 0.533333333333
(8, 0.1, 0.3): 0.8
(8, 1.0, 0.3): 0.8
(8, 10.0, 0.2): 0.533333333333
(8, 10.0, 0.3): 0.8
(8, 100.0, 0.2): 0.266666666667
(8, 100.0, 0.3): 0.8
(9, 0.1, 0.3): 0.733333333333
(9, 1.0, 0.2): 0.8
(9, 1.0, 0.3): 0.733333333333
(9, 10.0, 0.2): 0.733333333333
(9, 10.0, 0.3): 0.733333333333
(9, 100.0, 0.2): 0.666666666667
(9, 100.0, 0.3): 0.733333333333

Loss on all the set for every iteration, for every couple c,sigma (n_of_the_iter, best_c, best_sigma):
(0, 0.1, 0.3): 0.4
(0, 1.0, 0.2): 0.533333333333
(0, 1.0, 0.3): 0.4
(0, 10.0, 0.2): 0.733333333333
(0, 10.0, 0.3): 0.4
(0, 100.0, 0.2): 0.933333333333
(0, 100.0, 0.3): 0.4
(1, 0.1, 0.3): 0.533333333333
(1, 1.0, 0.2): 0.733333333333
(1, 1.0, 0.3): 0.533333333333
(1, 10.0, 0.2): 0.866666666667
(1, 10.0, 0.3): 0.533333333333
(1, 100.0, 0.3): 0.533333333333
(2, 0.1, 0.3): 0.2
(2, 1.0, 0.2): 0.466666666667
(2, 1.0, 0.3): 0.2
(2, 10.0, 0.2): 0.666666666667
(2, 10.0, 0.3): 0.2
(2, 100.0, 0.2): 0.666666666667
(2, 100.0, 0.3): 0.2
(3, 1.0, 0.2): 0.8
(3, 1.0, 0.3): 0.6
(3, 10.0, 0.2): 0.8
(3, 10.0, 0.3): 0.6
(3, 100.0, 0.2): 0.8
(3, 100.0, 0.3): 0.6
(4, 0.1, 0.3): 0.466666666667
(4, 1.0, 0.2): 0.4
(4, 1.0, 0.3): 0.2
(4, 10.0, 0.2): 0.4
(4, 10.0, 0.3): 0.466666666667
(4, 100.0, 0.3): 0.466666666667
(5, 0.1, 0.3): 0.466666666667
(5, 1.0, 0.2): 0.733333333333
(5, 1.0, 0.3): 0.466666666667
(5, 10.0, 0.2): 0.8
(5, 10.0, 0.3): 0.466666666667
(5, 100.0, 0.2): 0.733333333333
(5, 100.0, 0.3): 0.466666666667
(6, 0.1, 0.3): 0.266666666667
(6, 1.0, 0.3): 0.266666666667
(6, 10.0, 0.3): 0.266666666667
(6, 100.0, 0.3): 0.266666666667
(7, 0.1, 0.3): 0.466666666667
(7, 1.0, 0.2): 0.8
(7, 1.0, 0.3): 0.466666666667
(7, 10.0, 0.2): 0.8
(7, 10.0, 0.3): 0.466666666667
(7, 100.0, 0.2): 0.8
(7, 100.0, 0.3): 0.466666666667
(8, 0.1, 0.3): 0.2
(8, 1.0, 0.3): 0.2
(8, 10.0, 0.2): 0.466666666667
(8, 10.0, 0.3): 0.2
(8, 100.0, 0.2): 0.733333333333
(8, 100.0, 0.3): 0.2
(9, 0.1, 0.3): 0.266666666667
(9, 1.0, 0.2): 0.2
(9, 1.0, 0.3): 0.266666666667
(9, 10.0, 0.2): 0.266666666667
(9, 10.0, 0.3): 0.266666666667
(9, 100.0, 0.2): 0.333333333333
(9, 100.0, 0.3): 0.266666666667

Accuracy mean :0.522751322751323
Std deviation :0.20988158220204323
Loss mean :0.4772486772486771
Std deviation :0.20988158220204323



Linear Muzzifier_4dim, number of iterations: 10

Parameters info
Tradeoffs parameter: [  0.1   1.   10.  100. ]
Gaussian kernel sigmas: [0.05 0.1  0.2  0.3 ]
Number of principal dimension considerated: 4
Dataset length: 150

Clusterization info
Minimum size of a cluster: in perc: 0.01, in int: 2
Type of mu: Linear Muzzifier
Fuzzifier: Linear
Cluster to label info
Force the number of cluster to be the number of different labels: False
Force the labels to be always represent by a cluster: False

Validation info
Conflict resolution: random


RESULTS

On TEST set

Accuracy on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 1.0, 0.2): 0.6
(1, 100.0, 0.2): 0.6
(2, 1.0, 0.3): 0.733333333333
(3, 10.0, 0.3): 0.533333333333
(4, 10.0, 0.3): 0.6
(5, 10.0, 0.3): 0.466666666667
(6, 100.0, 0.3): 0.666666666667
(7, 10.0, 0.3): 0.6
(8, 100.0, 0.3): 0.533333333333
(9, 100.0, 0.3): 0.6

Loss on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 1.0, 0.2): 0.4
(1, 100.0, 0.2): 0.4
(2, 1.0, 0.3): 0.266666666667
(3, 10.0, 0.3): 0.466666666667
(4, 10.0, 0.3): 0.4
(5, 10.0, 0.3): 0.533333333333
(6, 100.0, 0.3): 0.333333333333
(7, 10.0, 0.3): 0.4
(8, 100.0, 0.3): 0.466666666667
(9, 100.0, 0.3): 0.4

Accuracy mean :0.5933333333333334
Std deviation :0.06960204339273698
Loss mean :0.40666666666666673
Std deviation :0.069602043392737

On TRAINING set

Accuracy on training set for every iteration (n_of_the_iter, c, sigma):
(0, 1.0, 0.2): 0.674074074074
(1, 100.0, 0.2): 0.674074074074
(2, 1.0, 0.3): 0.659259259259
(3, 10.0, 0.3): 0.674074074074
(4, 10.0, 0.3): 0.674074074074
(5, 10.0, 0.3): 0.688888888889
(6, 100.0, 0.3): 0.666666666667
(7, 10.0, 0.3): 0.674074074074
(8, 100.0, 0.3): 0.681481481481
(9, 100.0, 0.3): 0.674074074074
Loss on training set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 1.0, 0.2): 0.325925925926
(1, 100.0, 0.2): 0.325925925926
(2, 1.0, 0.3): 0.340740740741
(3, 10.0, 0.3): 0.325925925926
(4, 10.0, 0.3): 0.325925925926
(5, 10.0, 0.3): 0.311111111111
(6, 100.0, 0.3): 0.333333333333
(7, 10.0, 0.3): 0.325925925926
(8, 100.0, 0.3): 0.318518518519
(9, 100.0, 0.3): 0.325925925926

Accuracy mean :0.6740740740740739
Std deviation :0.007407407407407418
Loss mean :0.3259259259259259
Std deviation :0.007407407407407402

On ALL the sets

Accuracy on all the set for every iteration, for every couple c,sigma (n_of_the_iter, c, sigma):
(0, 1.0, 0.2): 0.866666666667
(0, 1.0, 0.3): 0.666666666667
(0, 10.0, 0.2): 0.866666666667
(0, 10.0, 0.3): 0.666666666667
(0, 100.0, 0.2): 0.866666666667
(0, 100.0, 0.3): 0.666666666667
(1, 0.1, 0.3): 0.533333333333
(1, 1.0, 0.2): 0.533333333333
(1, 1.0, 0.3): 0.533333333333
(1, 10.0, 0.2): 0.533333333333
(1, 10.0, 0.3): 0.533333333333
(1, 100.0, 0.2): 0.533333333333
(1, 100.0, 0.3): 0.533333333333
(2, 0.1, 0.3): 0.666666666667
(2, 1.0, 0.3): 0.666666666667
(2, 10.0, 0.2): 0.666666666667
(2, 10.0, 0.3): 0.666666666667
(2, 100.0, 0.2): 0.666666666667
(2, 100.0, 0.3): 0.666666666667
(3, 0.1, 0.3): 0.733333333333
(3, 1.0, 0.2): 0.6
(3, 1.0, 0.3): 0.733333333333
(3, 10.0, 0.2): 0.6
(3, 10.0, 0.3): 0.733333333333
(3, 100.0, 0.2): 0.6
(3, 100.0, 0.3): 0.733333333333
(4, 0.1, 0.3): 0.733333333333
(4, 1.0, 0.3): 0.733333333333
(4, 10.0, 0.3): 0.733333333333
(4, 100.0, 0.3): 0.733333333333
(5, 1.0, 0.2): 0.6
(5, 1.0, 0.3): 0.733333333333
(5, 10.0, 0.2): 0.733333333333
(5, 10.0, 0.3): 0.8
(5, 100.0, 0.2): 0.733333333333
(5, 100.0, 0.3): 0.8
(6, 0.1, 0.3): 0.666666666667
(6, 1.0, 0.3): 0.666666666667
(6, 10.0, 0.3): 0.666666666667
(6, 100.0, 0.2): 0.4
(6, 100.0, 0.3): 0.666666666667
(7, 1.0, 0.3): 0.8
(7, 10.0, 0.3): 0.8
(7, 100.0, 0.3): 0.8
(8, 1.0, 0.2): 0.266666666667
(8, 1.0, 0.3): 0.666666666667
(8, 10.0, 0.2): 0.133333333333
(8, 10.0, 0.3): 0.2
(8, 100.0, 0.2): 0.333333333333
(8, 100.0, 0.3): 0.666666666667
(9, 0.1, 0.3): 0.6
(9, 1.0, 0.3): 0.6
(9, 10.0, 0.2): 0.6
(9, 10.0, 0.3): 0.6
(9, 100.0, 0.2): 0.6
(9, 100.0, 0.3): 0.6

Loss on all the set for every iteration, for every couple c,sigma (n_of_the_iter, best_c, best_sigma):
(0, 1.0, 0.2): 0.133333333333
(0, 1.0, 0.3): 0.333333333333
(0, 10.0, 0.2): 0.133333333333
(0, 10.0, 0.3): 0.333333333333
(0, 100.0, 0.2): 0.133333333333
(0, 100.0, 0.3): 0.333333333333
(1, 0.1, 0.3): 0.466666666667
(1, 1.0, 0.2): 0.466666666667
(1, 1.0, 0.3): 0.466666666667
(1, 10.0, 0.2): 0.466666666667
(1, 10.0, 0.3): 0.466666666667
(1, 100.0, 0.2): 0.466666666667
(1, 100.0, 0.3): 0.466666666667
(2, 0.1, 0.3): 0.333333333333
(2, 1.0, 0.3): 0.333333333333
(2, 10.0, 0.2): 0.333333333333
(2, 10.0, 0.3): 0.333333333333
(2, 100.0, 0.2): 0.333333333333
(2, 100.0, 0.3): 0.333333333333
(3, 0.1, 0.3): 0.266666666667
(3, 1.0, 0.2): 0.4
(3, 1.0, 0.3): 0.266666666667
(3, 10.0, 0.2): 0.4
(3, 10.0, 0.3): 0.266666666667
(3, 100.0, 0.2): 0.4
(3, 100.0, 0.3): 0.266666666667
(4, 0.1, 0.3): 0.266666666667
(4, 1.0, 0.3): 0.266666666667
(4, 10.0, 0.3): 0.266666666667
(4, 100.0, 0.3): 0.266666666667
(5, 1.0, 0.2): 0.4
(5, 1.0, 0.3): 0.266666666667
(5, 10.0, 0.2): 0.266666666667
(5, 10.0, 0.3): 0.2
(5, 100.0, 0.2): 0.266666666667
(5, 100.0, 0.3): 0.2
(6, 0.1, 0.3): 0.333333333333
(6, 1.0, 0.3): 0.333333333333
(6, 10.0, 0.3): 0.333333333333
(6, 100.0, 0.2): 0.6
(6, 100.0, 0.3): 0.333333333333
(7, 1.0, 0.3): 0.2
(7, 10.0, 0.3): 0.2
(7, 100.0, 0.3): 0.2
(8, 1.0, 0.2): 0.733333333333
(8, 1.0, 0.3): 0.333333333333
(8, 10.0, 0.2): 0.866666666667
(8, 10.0, 0.3): 0.8
(8, 100.0, 0.2): 0.666666666667
(8, 100.0, 0.3): 0.333333333333
(9, 0.1, 0.3): 0.4
(9, 1.0, 0.3): 0.4
(9, 10.0, 0.2): 0.4
(9, 10.0, 0.3): 0.4
(9, 100.0, 0.2): 0.4
(9, 100.0, 0.3): 0.4

Accuracy mean :0.6380952380952382
Std deviation :0.1479259482572292
Loss mean :0.3619047619047619
Std deviation :0.1479259482572292



